region,sexe,mstat,age_grp,nbr_indv,mean_rev,mean_banked,empl_formel,proprio_titre,proprio_sans,locataire,autre_logement,assurance
GBEKE,Féminin,Marié(e) monogame,15-24,28,2689.1196,.53571427,0,0,.14285715,.35714287,.5,0
GBEKE,Féminin,Marié(e) polygame,15-24,1,0,0,0,0,0,1,0,0
GBEKE,Féminin,Union libre,15-24,3,0,.33333334,0,0,.33333334,0,.66666669,0
GBEKE,Féminin,Divorcé(e),15-24,1,0,1,0,0,1,0,0,0
GBEKE,Masculin,Célibataire,25-34,65,24576.779,.70769233,0,.16923077,.15384616,.40000001,.27692309,.046153847
GBEKE,Masculin,Marié(e) monogame,25-34,42,69714.289,.78571427,.023809524,.047619049,.071428575,.40476191,.47619048,.071428575
GBEKE,Masculin,Union libre,25-34,4,0,.25,0,0,0,.25,.75,0
GBEKE,Féminin,Célibataire,25-34,49,12714.286,.67346936,.040816326,.14285715,.14285715,.42857143,.2857143,.040816326
GBEKE,Féminin,Marié(e) monogame,25-34,78,3632.4785,.61538464,.012820513,.15384616,.1025641,.37179488,.37179488,.064102568
GBEKE,Féminin,Marié(e) polygame,25-34,6,0,1,0,0,0,.66666669,.33333334,0
GBEKE,Féminin,Union libre,25-34,6,0,.5,0,.16666667,0,0,.83333331,0
GBEKE,Féminin,Séparé,25-34,1,0,1,0,0,0,1,0,0
GBEKE,Masculin,Célibataire,35-44,20,52236.797,.80000001,0,.2,.25,.2,.34999999,.050000001
GBEKE,Masculin,Marié(e) monogame,35-44,67,63101.953,.80597013,.059701491,.19402985,.19402985,.20895523,.40298507,.10447761
GBEKE,Masculin,Marié(e) polygame,35-44,5,13000,1,0,0,0,.60000002,.40000001,0
GBEKE,Masculin,Union libre,35-44,5,0,1,0,.2,0,0,.80000001,0
GBEKE,Masculin,Divorcé(e),35-44,1,40000,1,0,0,0,1,0,0
GBEKE,Masculin,Séparé,35-44,1,0,0,0,1,0,0,0,0
GBEKE,Féminin,Célibataire,35-44,24,4791.6665,.75,0,.083333336,.20833333,.20833333,.5,0
GBEKE,Féminin,Marié(e) monogame,35-44,72,18142.332,.6111111,.013888889,.20833333,.18055555,.29166666,.31944445,.097222224
GBEKE,Féminin,Marié(e) polygame,35-44,11,0,.63636363,0,.090909094,.27272728,.27272728,.36363637,0
GBEKE,Féminin,Union libre,35-44,2,0,.5,0,0,0,.5,.5,0
GBEKE,Féminin,Veuf(ve),35-44,5,14000,.80000001,0,0,0,.60000002,.40000001,0
GBEKE,Féminin,Divorcé(e),35-44,5,14000,.80000001,.2,0,.40000001,0,.60000002,0
GBEKE,Féminin,Séparé,35-44,2,74860,1,.5,0,0,1,0,.5
GBEKE,Masculin,Célibataire,45-54,5,30600,.40000001,0,.2,0,0,.80000001,0
GBEKE,Masculin,Marié(e) monogame,45-54,64,78043.797,.890625,.171875,.109375,.203125,.375,.3125,.15625
