,cluster,variable,type,moyenne,médiane,écart_type,min,max,modalité,modalité_pct
29,4,sex,catégorielle,,,,,,Féminin,100.0
30,4,marital_status,catégorielle,,,,,,Célibataire,99.6415770609319
31,4,city,catégorielle,,,,,,BONON,27.598566308243726
32,4,milieu_resid,catégorielle,,,,,,Urbain,100.0
33,4,region_name,catégorielle,,,,,,MARAHOUE,100.0
34,4,bancarise,catégorielle,,,,,,0,100.0
35,5,age_num,numérique,8.492890995260664,8.0,6.458194992002647,0.0,40.0,,
36,5,sex,catégorielle,,,,,,Masculin,100.0
37,5,marital_status,catégorielle,,,,,,Célibataire,99.52606635071089
38,5,city,catégorielle,,,,,,ATTOUTOU,21.80094786729858
39,5,milieu_resid,catégorielle,,,,,,Rural,100.0
40,5,region_name,catégorielle,,,,,,GRANDS-PONTS,100.0
41,5,bancarise,catégorielle,,,,,,0,100.0
42,6,age_num,numérique,26.14394278050961,27.0,4.616396190280166,13.0,34.0,,
43,6,sex,catégorielle,,,,,,Féminin,100.0
44,6,marital_status,catégorielle,,,,,,Marié(e),100.0
45,6,city,catégorielle,,,,,,MAHANDIANA-SOKOURANI,2.592758158247653
46,6,milieu_resid,catégorielle,,,,,,Rural,100.0
47,6,region_name,catégorielle,,,,,,FOLON,7.1971390254805545
48,6,bancarise,catégorielle,,,,,,0,100.0
49,7,age_num,numérique,67.93558951965065,67.0,11.430913879086965,46.0,122.0,,
50,7,sex,catégorielle,,,,,,Féminin,100.0
51,7,marital_status,catégorielle,,,,,,Veuf(ve),86.35371179039302
52,7,city,catégorielle,,,,,,BOCANDA,1.9650655021834063
53,7,milieu_resid,catégorielle,,,,,,Rural,100.0
54,7,region_name,catégorielle,,,,,,BELIER,6.6593886462882095
55,7,bancarise,catégorielle,,,,,,0,100.0
56,8,age_num,numérique,53.540393013100434,53.0,6.1150629626054265,40.0,67.0,,
57,8,sex,catégorielle,,,,,,Masculin,100.0
58,8,marital_status,catégorielle,,,,,,Marié(e),72.81659388646288
59,8,city,catégorielle,,,,,,NIAMBEZARIA,1.0917030567685588
60,8,milieu_resid,catégorielle,,,,,,Rural,100.0
61,8,region_name,catégorielle,,,,,,GUEMON,6.441048034934497
62,8,bancarise,catégorielle,,,,,,0,100.0
63,9,age_num,numérique,34.20184544405998,35.0,4.842278805159117,18.0,42.0,,
64,9,sex,catégorielle,,,,,,Masculin,100.0
65,9,marital_status,catégorielle,,,,,,Marié(e),99.30795847750865
66,9,city,catégorielle,,,,,,BOUAKE,3.690888119953864
67,9,milieu_resid,catégorielle,,,,,,Urbain,100.0
68,9,region_name,catégorielle,,,,,,TONKPI,7.612456747404845
69,9,bancarise,catégorielle,,,,,,1,100.0
70,10,age_num,numérique,27.54859335038363,26.0,8.653794579884545,15.0,48.0,,
71,10,sex,catégorielle,,,,,,Féminin,100.0
72,10,marital_status,catégorielle,,,,,,Célibataire,76.8542199488491
73,10,city,catégorielle,,,,,,YAMOUSSOUKRO,4.219948849104859
74,10,milieu_resid,catégorielle,,,,,,Rural,100.0
75,10,region_name,catégorielle,,,,,,MARAHOUE,7.41687979539642
76,10,bancarise,catégorielle,,,,,,1,100.0
77,11,age_num,numérique,65.31732776617955,64.0,6.962807076458199,55.0,100.0,,
78,11,sex,catégorielle,,,,,,Masculin,100.0
79,11,marital_status,catégorielle,,,,,,Marié(e),88.30897703549061
80,11,city,catégorielle,,,,,,BOUAKE,4.3841336116910234
81,11,milieu_resid,catégorielle,,,,,,Urbain,100.0
82,11,region_name,catégorielle,,,,,,TONKPI,6.6805845511482245
83,11,bancarise,catégorielle,,,,,,1,100.0
84,12,age_num,numérique,11.063316582914572,10.0,7.713364180248415,0.0,42.0,,
85,12,sex,catégorielle,,,,,,Féminin,100.0
86,12,marital_status,catégorielle,,,,,,Célibataire,99.79899497487436
87,12,city,catégorielle,,,,,,ABIDJAN,97.48743718592965
88,12,milieu_resid,catégorielle,,,,,,Urbain,100.0
89,12,region_name,catégorielle,,,,,,AUTONOME D'ABIDJAN,100.0
90,12,bancarise,catégorielle,,,,,,0,100.0
91,13,age_num,numérique,65.49784791965567,64.0,6.943764958484514,55.0,93.0,,
92,13,sex,catégorielle,,,,,,Masculin,100.0
93,13,marital_status,catégorielle,,,,,,Marié(e),88.80918220946916
94,13,city,catégorielle,,,,,,BOUAFLE,1.5781922525107603
95,13,milieu_resid,catégorielle,,,,,,Rural,100.0
96,13,region_name,catégorielle,,,,,,NAWA,7.173601147776183
97,13,bancarise,catégorielle,,,,,,1,100.0
98,14,age_num,numérique,24.029239766081872,22.0,7.171676306528045,15.0,50.0,,
99,14,sex,catégorielle,,,,,,Masculin,100.0
100,14,marital_status,catégorielle,,,,,,Célibataire,99.92690058479532
101,14,city,catégorielle,,,,,,YAMOUSSOUKRO,10.087719298245613
102,14,milieu_resid,catégorielle,,,,,,Urbain,100.0
103,14,region_name,catégorielle,,,,,,YAMOUSSOUKRO,10.67251461988304
104,14,bancarise,catégorielle,,,,,,1,100.0
105,15,age_num,numérique,35.49391069012179,35.0,8.39057750843117,15.0,52.0,,
106,15,sex,catégorielle,,,,,,Féminin,100.0
107,15,marital_status,catégorielle,,,,,,Marié(e),100.0
108,15,city,catégorielle,,,,,,SARHALA,1.4884979702300407
109,15,milieu_resid,catégorielle,,,,,,Rural,100.0
110,15,region_name,catégorielle,,,,,,NAWA,6.359945872801083
111,15,bancarise,catégorielle,,,,,,1,100.0
112,16,age_num,numérique,8.101503759398497,7.0,6.068429432388616,0.0,33.0,,
113,16,sex,catégorielle,,,,,,Masculin,100.0
114,16,marital_status,catégorielle,,,,,,Célibataire,100.0
115,16,city,catégorielle,,,,,,MAHANDIANA-SOKOURANI,30.639097744360903
116,16,milieu_resid,catégorielle,,,,,,Rural,100.0
117,16,region_name,catégorielle,,,,,,FOLON,100.0
118,16,bancarise,catégorielle,,,,,,0,100.0
119,17,age_num,numérique,27.124752475247526,25.0,8.971863049306686,15.0,58.0,,
120,17,sex,catégorielle,,,,,,Féminin,100.0
121,17,marital_status,catégorielle,,,,,,Célibataire,92.67326732673268
122,17,city,catégorielle,,,,,,ABIDJAN,97.82178217821782
123,17,milieu_resid,catégorielle,,,,,,Urbain,100.0
124,17,region_name,catégorielle,,,,,,AUTONOME D'ABIDJAN,100.0
125,17,bancarise,catégorielle,,,,,,1,99.8019801980198
126,18,age_num,numérique,9.308196721311475,8.0,7.430030378312689,0.0,41.0,,
127,18,sex,catégorielle,,,,,,Masculin,100.0
128,18,marital_status,catégorielle,,,,,,Célibataire,99.8360655737705
129,18,city,catégorielle,,,,,,GNAMANGUI,15.573770491803279
130,18,milieu_resid,catégorielle,,,,,,Rural,100.0
131,18,region_name,catégorielle,,,,,,NAWA,100.0
132,18,bancarise,catégorielle,,,,,,0,100.0
133,19,age_num,numérique,9.462750716332378,9.0,6.476481181287458,0.0,40.0,,
134,19,sex,catégorielle,,,,,,Masculin,100.0
135,19,marital_status,catégorielle,,,,,,Célibataire,99.5702005730659
136,19,city,catégorielle,,,,,,VAVOUA,10.17191977077364
137,19,milieu_resid,catégorielle,,,,,,Rural,100.0
138,19,region_name,catégorielle,,,,,,HAUT-SASSANDRA,100.0
139,19,bancarise,catégorielle,,,,,,0,100.0
140,20,age_num,numérique,10.078028747433265,8.0,7.55950807667482,0.0,40.0,,
141,20,sex,catégorielle,,,,,,Masculin,100.0
