cluster,age_num,sex,marital_status,city,milieu_resid,region_name,bancarise
1,24,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0
1,24,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0
1,31,Féminin,Marié(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1
0,45,Masculin,Marié(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1
1,40,Masculin,Marié(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1
1,32,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1
0,58,Masculin,Union libre,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1
0,47,Féminin,Union libre,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1
1,21,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1
1,33,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1
1,30,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1
1,31,Féminin,Union libre,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1
1,37,Masculin,Union libre,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1
0,65,Féminin,Veuf(ve),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0
1,25,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0
1,27,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1
1,33,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1
1,36,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1
0,64,Féminin,Veuf(ve),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1
1,28,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1
0,52,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1
1,20,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1
0,63,Féminin,Marié(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1
0,64,Masculin,Marié(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1
1,21,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1
0,53,Masculin,Marié(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1
1,38,Féminin,Marié(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1
0,46,Masculin,Marié(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1
1,39,Féminin,Marié(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0
1,22,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0
0,46,Féminin,Marié(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0
1,40,Masculin,Marié(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0
1,34,Féminin,Marié(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0
0,46,Féminin,Marié(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1
0,70,Masculin,Marié(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1
1,39,Masculin,Marié(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1
1,30,Féminin,Marié(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1
1,39,Féminin,Marié(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1
1,35,Masculin,Marié(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1
1,24,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1
0,57,Masculin,Marié(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1
1,30,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0
0,50,Féminin,Marié(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0
0,42,Masculin,Marié(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1
1,32,Féminin,Marié(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0
0,50,Masculin,Marié(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1
1,40,Féminin,Marié(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1
1,19,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1
0,53,Masculin,Marié(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1
1,19,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0
0,44,Féminin,Marié(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1
1,20,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0
0,54,Masculin,Marié(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0
0,48,Féminin,Marié(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0
0,52,Féminin,Veuf(ve),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1
0,84,Féminin,Veuf(ve),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1
1,24,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1
1,36,Féminin,Marié(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1
1,28,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1
1,35,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1
0,59,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1
1,28,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1
1,36,Féminin,Marié(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1
0,48,Masculin,Marié(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1
1,19,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0
1,23,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1
1,38,Féminin,Marié(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1
0,42,Masculin,Marié(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1
1,45,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1
0,46,Masculin,Marié(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1
1,37,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1
0,70,Féminin,Veuf(ve),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1
0,43,Féminin,Marié(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1
1,32,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1
1,23,Féminin,Marié(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1
1,34,Masculin,Marié(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1
1,26,Féminin,Divorcé(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1
1,24,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1
1,28,Féminin,Marié(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1
1,33,Masculin,Marié(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1
1,45,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1
1,32,Féminin,Marié(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1
0,42,Masculin,Marié(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1
1,32,Féminin,Marié(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1
0,56,Féminin,Veuf(ve),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1
0,43,Masculin,Marié(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1
1,27,Féminin,Marié(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1
1,36,Masculin,Marié(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1
1,28,Féminin,Marié(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0
1,40,Masculin,Marié(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1
1,38,Masculin,Marié(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1
1,19,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0
0,60,Féminin,Veuf(ve),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0
